,City,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
0,huty,57,78,50.13,59.83,5.03
1,kahului,40,58,20.89,87.8,26.4
2,kaitangata,98,74,-46.28,44.01,2.21
3,naliya,96,80,23.27,84.06,17.05
4,honiara,75,58,-9.43,87.8,6.93
5,albany,59,65,42.6,86.0,1.01
6,cape town,40,100,-33.93,57.99,9.17
7,matay,13,55,28.42,77.11,15.9
8,jamestown,90,100,42.1,73.0,13.87
9,sitka,90,93,57.05,57.2,6.93
10,anajatuba,41,76,-3.26,75.79,3.29
11,wenling,95,60,28.37,84.0,13.13
12,cherskiy,0,40,68.75,72.34,4.81
13,yellowknife,40,49,62.46,73.99,8.05
14,tuktoyaktuk,40,75,69.45,46.4,4.7
15,flinders,0,50,-34.58,57.99,8.99
16,hobart,40,70,-42.88,48.2,16.11
17,lagoa,27,79,39.05,68.99,5.23
18,qaanaaq,98,69,77.48,47.7,2.28
19,chaozhou,20,70,23.67,87.8,2.24
20,punta arenas,63,74,-53.15,33.8,8.05
21,avarua,81,78,-21.21,77.0,18.34
22,san quintin,0,53,30.48,77.47,19.28
23,port alfred,0,62,-33.59,60.26,6.55
24,moron,83,88,-34.65,64.99,1.12
25,kruisfontein,0,39,-34.0,53.24,6.08
26,aras,21,64,42.56,73.4,3.36
27,bluff,75,83,-46.6,39.0,3.0
28,bethel,1,58,41.37,82.99,11.41
29,marawi,89,82,8.0,80.01,1.01
30,labuhan,12,83,-6.88,76.78,8.97
31,rikitea,45,62,-23.12,68.68,11.03
32,powell river,20,57,49.85,77.0,12.75
33,hirado,75,74,33.36,88.0,12.75
34,yaan,81,99,7.38,71.28,5.17
35,castro,18,91,-24.79,57.25,3.8
36,talnakh,87,76,69.49,50.0,15.66
37,sorland,73,85,67.67,55.08,13.27
38,mokhsogollokh,69,71,61.47,78.13,5.86
39,santa rosalia,4,48,27.32,90.19,6.51
40,mataura,92,83,-46.19,39.0,3.0
41,ushuaia,20,92,-54.8,26.6,6.93
42,lorengau,80,68,-2.02,84.61,10.33
43,ashti,100,80,19.38,78.78,9.4
44,victoria,100,74,22.29,86.0,3.0
45,kodiak,90,82,57.79,59.0,17.22
46,lata,0,95,40.16,66.0,2.44
47,lasa,20,82,46.62,59.0,3.36
48,magdalena,93,74,14.2,82.99,6.93
49,port lincoln,49,62,-34.73,54.91,6.31
50,bowen,90,73,-20.02,73.99,4.7
51,san cristobal,20,43,7.77,91.4,11.41
52,saint anthony,1,42,45.02,80.6,12.75
53,mao,0,88,39.89,69.8,5.3
54,spirit river,20,53,55.78,71.6,12.75
55,santa cruz,1,69,-17.8,77.0,11.41
56,saskylakh,31,62,71.92,59.5,10.65
57,adrar,29,22,20.5,94.64,5.73
58,candolim,75,100,15.52,77.0,2.24
59,east london,0,52,-33.02,59.54,6.15
60,hermanus,3,95,-34.42,53.01,1.99
61,saint george,1,7,37.1,106.0,19.46
62,bintulu,40,94,3.17,77.0,5.82
63,georgetown,20,94,5.41,78.8,2.24
64,bambous virieux,40,88,-20.34,66.99,5.82
65,aksu,99,46,41.12,72.7,0.87
66,lebu,4,89,-37.62,51.35,12.75
67,port hedland,4,59,-20.32,62.6,16.11
68,weston,1,74,26.1,87.01,11.41
69,asekeyevo,15,94,53.57,59.27,5.95
70,the valley,20,74,18.22,84.2,11.41
71,hilo,90,74,19.73,80.6,10.29
72,hithadhoo,100,78,-0.6,83.5,16.17
73,kapaa,75,70,22.08,84.2,18.34
74,tirumullaivasal,95,80,11.23,81.66,6.06
75,morden,1,56,49.19,73.4,9.17
76,pisco,52,77,-13.7,62.6,12.75
77,busselton,36,78,-33.65,48.99,7.72
78,norman wells,75,68,65.28,64.4,8.05
79,examilia,0,58,37.9,75.0,1.01
80,shache,0,61,38.42,65.62,2.17
81,ribeira grande,72,76,38.52,69.19,3.53
82,kichera,100,57,55.94,57.07,3.85
83,mahebourg,40,77,-20.41,68.0,11.41
84,kingman,1,11,35.19,107.01,16.11
85,dikson,100,95,73.51,41.09,10.96
86,severo-kurilsk,100,87,50.68,51.93,12.35
87,varhaug,7,97,58.61,51.01,9.73
88,dohar,90,88,23.59,78.8,4.7
89,arraial do cabo,0,85,-22.97,70.95,22.59
90,karratha,1,65,-20.74,63.03,16.2
91,dunmore east,1,84,52.15,54.0,1.01
92,ilulissat,85,46,69.22,53.6,2.24
93,port hawkesbury,90,73,45.62,73.4,6.93
94,carnarvon,0,87,-24.87,48.2,9.17
95,kourou,74,88,5.16,78.8,6.85
96,shingu,75,94,33.73,78.8,2.24
97,belmonte,75,94,-15.86,69.8,4.7
98,barrow,90,80,71.29,39.2,13.87
99,pavlodar,0,72,52.3,60.8,8.95
100,lahat,31,90,-3.8,72.88,1.9
101,griffith,1,57,41.53,82.99,5.82
102,ofaqim,0,68,31.31,66.99,2.75
103,aksarka,28,79,66.56,48.52,7.78
104,torbay,39,61,47.67,64.99,1.99
105,new norfolk,69,82,-42.78,46.99,1.99
106,kavaratti,100,79,10.57,81.32,13.78
107,airai,17,52,-8.93,63.59,3.02
108,vaini,90,88,-21.2,71.6,8.05
109,canyon lake,54,55,29.88,95.0,7.0
110,flin flon,20,38,54.77,73.4,4.7
111,xining,97,52,36.62,57.25,2.39
112,thinadhoo,100,75,0.53,83.93,18.9
113,tasiilaq,0,87,65.61,46.4,6.93
114,saint-philippe,40,77,-21.36,62.6,11.41
115,pevek,0,58,69.7,47.25,5.28
116,kilindoni,0,72,-7.91,76.53,22.03
117,sabang,73,75,5.89,82.98,6.82
118,riyadh,7,26,24.69,91.4,4.7
119,eggenfelden,100,94,48.41,62.01,3.98
120,bengkulu,40,90,-3.8,75.76,4.85
121,pandharpur,100,86,17.67,76.71,6.53
122,san policarpo,77,72,12.18,84.52,3.51
123,buala,54,71,-8.14,83.86,5.26
124,butaritari,63,76,3.07,83.73,15.68
125,nikolskoye,16,82,59.7,60.8,4.47
126,novi ligure,20,78,44.76,73.4,3.36
127,zhigansk,100,62,66.77,63.54,6.11
128,marsa matruh,20,73,31.35,75.2,7.76
129,walcz,100,81,53.28,63.0,4.94
130,hobyo,86,73,5.35,76.96,22.39
131,kuminskiy,69,84,58.67,64.76,10.67
132,killybegs,16,95,54.63,42.01,1.01
133,elk city,1,32,35.41,95.0,17.22
134,tucuma,31,86,-0.18,76.84,9.06
135,mount isa,52,14,-20.73,68.0,6.93
136,ibra,79,76,22.69,82.04,5.77
137,portland,20,35,45.52,91.0,14.99
138,wangkui,100,95,46.83,66.24,4.05
139,ojinaga,40,23,29.57,98.6,13.87
140,ambilobe,15,71,-13.2,65.39,5.28
141,alamos,87,54,27.02,93.0,5.01
142,upernavik,59,54,72.79,49.03,7.65
143,khatanga,98,77,71.97,51.78,2.68
144,bethanien,0,33,-26.5,55.02,8.77
145,bredasdorp,6,93,-34.53,55.4,3.36
146,alekseyevsk,57,60,57.84,57.36,2.57
147,nanortalik,2,74,60.14,48.34,6.44
148,agirish,0,81,61.92,50.72,8.66
149,tura,100,99,25.52,73.81,7.56
150,iracoubo,99,81,5.48,79.05,9.62
151,mildura,90,71,-34.2,50.0,6.93
152,chama,59,72,47.18,63.0,3.56
153,pafos,0,78,34.77,71.6,3.36
154,ossora,97,90,59.24,52.7,17.09
155,ekhabi,96,86,53.51,55.96,12.06
156,naze,40,84,28.37,86.0,12.75
157,la ronge,75,72,55.1,66.2,6.93
158,iwata,100,82,34.7,86.0,1.99
159,miri,20,88,4.41,80.6,5.82
160,balkanabat,0,22,39.51,88.3,4.45
161,bubaque,100,83,11.28,80.02,16.98
162,yulara,90,87,-25.24,51.8,6.93
163,college,75,49,64.86,73.4,3.36
164,olafsvik,31,79,64.89,48.2,8.05
165,talcahuano,75,93,-36.72,55.4,10.29
166,mehamn,100,84,71.04,52.16,5.1
167,egvekinot,0,54,66.32,49.89,5.35
168,puerto ayora,92,91,-0.74,70.0,4.0
169,cabedelo,75,100,-6.98,73.4,10.29
170,obidos,26,62,-1.92,79.54,3.69
